uid,age,brand,car_type,fuel,id,mileage,mileage_per_year,name,power,price_model,price_usd_est,price_usd_final,source,source_file,trans,year,price_per_hp,price_per_mile
1,18.0,Maruti,Other,Petrol,1.0,70000.0,3888.8888888888887,Maruti 800 AC,542.0,0.49,36104.52384,36104.52384,main,cars_with_price_est_20k.csv,Manual,2007.0,66.6135126199262,0.515778912
2,18.0,Maruti,Wagon,Petrol,2.0,50000.0,2777.777777777778,Maruti Wagon R LXI Minor,542.0,0.49,37511.193600000006,37511.193600000006,main,cars_with_price_est_20k.csv,Manual,2007.0,69.20884428044282,0.7502238720000001
3,13.0,Hyundai,Other,Diesel,3.0,100000.0,7692.307692307692,Hyundai Verna 1.6 SX,542.0,0.49,52450.56,52450.56,main,cars_with_price_est_20k.csv,Manual,2012.0,96.77225092250922,0.5245056
4,8.0,Datsun,Other,Petrol,4.0,46000.0,5750.0,Datsun RediGO T Option,542.0,0.49,80359.23168,80359.23168,main,cars_with_price_est_20k.csv,Manual,2017.0,148.26426509225092,1.7469398191304346
5,11.0,Honda,Other,Diesel,5.0,141000.0,12818.181818181818,Honda Amaze VX i-DTEC,542.0,0.49,54001.4688,54001.4688,main,cars_with_price_est_20k.csv,Manual,2014.0,99.63370627306273,0.38298914042553195
6,18.0,Maruti,Other,Petrol,6.0,125000.0,6944.444444444444,Maruti Alto LX BSIII,542.0,0.49,32236.182,32236.182,main,cars_with_price_est_20k.csv,Manual,2007.0,59.47635055350553,0.257889456
7,9.0,Hyundai,Other,Petrol,7.0,25000.0,2777.777777777778,Hyundai Xcent 1.2 Kappa S,542.0,0.49,75736.8,75736.8,main,cars_with_price_est_20k.csv,Manual,2016.0,139.73579335793357,3.029472
8,11.0,Tata,Other,Petrol,8.0,60000.0,5454.545454545455,Tata Indigo Grand Petrol,542.0,0.49,54306.6768,54306.6768,main,cars_with_price_est_20k.csv,Manual,2014.0,100.19682066420664,0.9051112800000001
9,10.0,Hyundai,Other,Petrol,9.0,25000.0,2500.0,Hyundai Creta 1.6 VTVT S,542.0,0.49,71949.96,71949.96,main,cars_with_price_est_20k.csv,Manual,2015.0,132.74900369003691,2.8779984
10,8.0,Maruti,Other,CNG/LPG,10.0,78000.0,9750.0,Maruti Celerio Green VXI,542.0,0.49,61178.60448,61178.60448,main,cars_with_price_est_20k.csv,Manual,2017.0,112.87565402214022,0.7843410830769231
11,10.0,Chevrolet,Other,Petrol,11.0,35000.0,3500.0,Chevrolet Sail 1.2 Base,542.0,0.49,70661.30399999999,70661.30399999999,main,cars_with_price_est_20k.csv,Manual,2015.0,130.37140959409592,2.0188943999999998
12,11.0,Tata,Other,Petrol,12.0,100000.0,9090.90909090909,Tata Indigo Grand Petrol,542.0,0.49,50155.848,50155.848,main,cars_with_price_est_20k.csv,Manual,2014.0,92.53846494464945,0.50155848
13,7.0,Toyota,Other,Petrol,13.0,25000.0,3571.428571428572,Toyota Corolla Altis 1.8 VL CVT,542.0,0.49,83310.48000000001,83310.48000000001,main,cars_with_price_est_20k.csv,Automatic,2018.0,153.70937269372695,3.3324192000000004
